Frequency (Hz), Magnitude (dB), Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase (Rad),Phase (Degrees)
100,-0.258734,0.970651,1.175446,1.210986,-0.006663,-0.381761779
116.6,-0.255819,0.970977,1.179966,1.215236,-0.008397,-0.481112661
135.9,-0.25288,0.971306,1.184324,1.219311,-0.010399,-0.595818811
158.5,-0.248999,0.97174,1.188848,1.223422,-0.012705,-0.727942879
184.8,-0.24477,0.972213,1.192933,1.227029,-0.015303,-0.876797314
215.4,-0.239864,0.972763,1.196607,1.230112,-0.018358,-1.05183592
251.2,-0.23283,0.973551,1.199658,1.23225,-0.021757,-1.246584275
292.9,-0.224111,0.974528,1.201853,1.233267,-0.025668,-1.470668069
341.5,-0.210762,0.976027,1.203276,1.23283,-0.030178,-1.729072034
398.1,-0.193869,0.977927,1.203939,1.231113,-0.035349,-2.02534851
464.2,-0.169335,0.980693,1.204893,1.228614,-0.04139,-2.371472314
541.2,-0.135483,0.984523,1.206592,1.22556,-0.048438,-2.775292968
631,-0.088454,0.989868,1.209577,1.221957,-0.056782,-3.253368952
735.6,-0.023913,0.997251,1.21497,1.21832,-0.066667,-3.819737733
857.7,0.064896,1.007499,1.223878,1.214768,-0.078597,-4.503276382
1000,0.186821,1.021742,1.237555,1.211221,-0.093041,-5.330856622
1166,0.355421,1.041768,1.257597,1.207175,-0.110866,-6.352153891
1359,0.588423,1.070092,1.28658,1.202308,-0.133269,-7.63575124
1585,0.914693,1.111053,1.328941,1.19611,-0.162355,-9.302256283
1848,1.372422,1.171173,1.389996,1.186841,-0.201392,-11.53891163
2154,2.112,1.275264,1.495458,1.172665,-0.256479,-14.69516423
2512,3.065976,1.423308,1.63523,1.148894,-0.34115,-19.54645518
2929,4.463908,1.671843,1.847249,1.104918,-0.485897,-27.83984738
3415,6.4229,2.094812,2.141304,1.022194,-0.771507,-44.20409496
3981,7.805051,2.456137,2.29942,0.936194,-1.348851,-77.28346949
4642,5.648913,1.916221,1.92876,1.006544,-2.043382,-117.0771645
5412,1.34694,1.167742,1.314515,1.125689,-2.458317,-140.8511888
6310,-2.819446,0.722816,0.85885,1.1882,-2.670845,-153.0281462
7356,-6.698915,0.462439,0.562807,1.217041,-2.79106,-159.9159584
8577,-10.162197,0.310377,0.381896,1.230425,-2.866547,-164.2410449
10000,-13.394846,0.213923,0.264767,1.237675,-2.918093,-167.1944131
11660,-16.440533,0.150651,0.186896,1.240586,-2.955778,-169.3536046
13590,-19.360558,0.10764,0.133832,1.243331,-2.984182,-170.9810339
15850,-22.262969,0.077064,0.09585,1.243776,-3.006705,-172.2715067
18480,-25.026629,0.056062,0.069662,1.242594,-3.025232,-173.3330256
21540,-27.738431,0.041028,0.050853,1.239473,-3.040151,-174.1878214
25120,-30.61459,0.029463,0.036326,1.232962,-3.052293,-174.8835067
29290,-33.359145,0.02148,0.026523,1.234757,-3.062748,-175.4825341
34150,-36.092447,0.015681,0.019574,1.248231,-3.071539,-175.9862213
39810,-38.825866,0.011447,0.014294,1.248711,-3.078553,-176.3880939
46420,-41.574439,0.008342,0.010417,1.248667,-3.085345,-176.7772468
54120,-44.341535,0.006066,0.007577,1.249083,-3.088912,-176.9816209
63100,-47.121092,0.004405,0.005502,1.249079,-3.094139,-177.2811059
73560,-49.824194,0.003227,0.00403,1.248894,-3.096496,-177.4161521
85770,-52.609744,0.002342,0.002925,1.249086,-3.100487,-177.6448195
100000,-55.471256,0.001684,0.002103,1.248789,-3.102141,-177.7395868
