Frequency (Hz), Magnitude (dB), Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase (Rad),Phase (Deg)
100,3.027981,1.417095,0.857506,0.605115,3.060458,175.3513268
112.2,3.019751,1.415753,0.857861,0.60594,3.050503,174.7809473
125.9,3.010356,1.414223,0.858286,0.606896,3.039448,174.1475424
141.3,2.997489,1.412129,0.858604,0.608021,3.026978,173.4330641
158.5,2.982442,1.409685,0.85894,0.609313,3.013119,172.6390019
177.8,2.962749,1.406493,0.859191,0.610875,2.997579,171.7486255
199.5,2.938108,1.402508,0.859513,0.61284,2.98027,170.7568928
223.9,2.907736,1.397613,0.859251,0.614799,2.960983,169.6518291
251.2,2.869133,1.391415,0.858726,0.61716,2.939461,168.4187093
281.8,2.820685,1.383676,0.857482,0.619713,2.915647,167.0542676
316.2,2.762087,1.374372,0.85556,0.622509,2.889157,165.5365025
354.8,2.689545,1.362942,0.852554,0.625525,2.860036,163.8679921
398.1,2.599889,1.348946,0.848162,0.628759,2.827875,162.0253025
446.7,2.489764,1.331951,0.842078,0.632214,2.792721,160.0111267
501.2,2.355084,1.311458,0.833955,0.6359,2.754422,157.8167556
562.3,2.194099,1.287375,0.82359,0.639744,2.712977,155.442132
631,1.998457,1.258702,0.810536,0.643946,2.66826,152.8800366
707.9,1.767672,1.225698,0.794691,0.648358,2.620761,150.1585444
794.3,1.494829,1.187795,0.775765,0.653114,2.570539,147.2810358
891.3,1.175044,1.14486,0.753636,0.658279,2.517949,144.2678507
1000,0.807686,1.097449,0.728286,0.663618,2.463689,141.1589817
1122,0.383239,1.04511,0.699645,0.669446,2.408212,137.9803838
1259,-0.094022,0.989234,0.668072,0.675343,2.352343,134.7793259
1413,-0.629441,0.930096,0.63381,0.681446,2.296688,131.5905293
1585,-1.212409,0.86972,0.597775,0.687318,2.242183,128.4676228
1778,-1.856538,0.807557,0.559759,0.693151,2.189247,125.4346134
1995,-2.537421,0.74667,0.521653,0.698639,2.138454,122.5243889
2239,-3.263612,0.686783,0.483313,0.703734,2.089978,119.7469187
2512,-3.988259,0.631811,0.447517,0.708309,2.044176,117.1226574
2818,-4.784974,0.576436,0.410689,0.712463,2.001771,114.6930299
3162,-5.608141,0.524316,0.375469,0.716112,1.962199,112.4257213
3548,-6.477568,0.474375,0.341162,0.719183,1.925455,110.3204451
3981,-7.347639,0.429159,0.309821,0.721927,1.891739,108.3886606
4467,-8.260626,0.386339,0.279768,0.724151,1.86103,106.6291645
5012,-9.164423,0.34816,0.252737,0.725921,1.832644,105.0027665
5623,-10.0086,0.315915,0.229744,0.727236,1.806354,103.4964605
6310,-10.938988,0.283825,0.206723,0.728346,1.78258,102.1343106
7079,-11.874953,0.254831,0.18599,0.729855,1.760746,100.8833146
7943,-12.894192,0.226616,0.165513,0.730369,1.740838,99.74267022
8913,-13.84584,0.203099,0.148418,0.730766,1.722369,98.68447446
10000,-14.702834,0.184017,0.134643,0.731686,1.705126,97.69652334
11220,-15.663984,0.164741,0.12043,0.731029,1.68928,96.78861442
12590,-16.68478,0.146474,0.107133,0.731414,1.674375,95.93462082
14130,-17.659739,0.130922,0.095751,0.731356,1.660347,95.13087563
15850,-18.633792,0.117034,0.085611,0.73151,1.647313,94.38408244
17780,-19.615875,0.104522,0.076442,0.731353,1.63485,93.67000514
19950,-20.671237,0.092563,0.067475,0.72896,1.623141,92.99912885
22390,-21.664559,0.08256,0.060185,0.728982,1.611977,92.35947877
25120,-22.539712,0.074647,0.054063,0.724241,1.600344,91.69295697
28180,-23.541185,0.066518,0.048129,0.723551,1.589296,91.0599532
31620,-24.547519,0.059241,0.043399,0.732589,1.578554,90.44448193
35480,-25.560078,0.052723,0.038644,0.732968,1.567613,89.81760881
39810,-26.717304,0.046146,0.03383,0.733116,1.556461,89.17864628
44670,-27.758997,0.040931,0.030009,0.73316,1.545457,88.54816352
50120,-28.805147,0.036286,0.026608,0.733284,1.5334,87.85734831
56230,-29.863578,0.032123,0.023553,0.733192,1.520714,87.13049405
63100,-30.94816,0.028353,0.020789,0.73324,1.506702,86.32766558
70790,-32.064205,0.024934,0.018286,0.733379,1.492849,85.53394715
79430,-33.20156,0.021874,0.016042,0.733378,1.477324,84.64443017
89130,-34.382475,0.019093,0.014004,0.733447,1.460132,83.65940113
100000,-35.61177,0.016573,0.012156,0.733446,1.441021,82.56442149
